id,state,location
1219,md,Aberdeen
1220,md,Annapolis
1222,md,Arundel Mills
1225,md,Bel Air
1226,md,Bowie
1227,md,Bowie Marketplace
1229,md,Cambridge
1231,md,Capital Centre
1233,md,Centre at Glen Burnie
1235,md,Clarksville
1238,md,Constant Friendship
1239,md,Corridor Market Place
1240,md,Crofton
1241,md,District Heights
1242,md,Dobbin Center
1243,md,Easton
1244,md,Eastpoint
1245,md,Edgewater (MD)
1246,md,Eldersburg
1248,md,Executive Park Drive
1249,md,First Colony Center
1250,md,Forest Hill
1251,md,Foundry Row
1253,md,Frederick North
1256,md,Germantown Town Center
1257,md,Hagerstown
1258,md,Hunt Valley Towne Centre
1261,md,Johns Hopkins Road
1262,md,Joppa Road
1265,md,La Plata
1266,md,La Vale
1267,md,Lansdowne Station
1268,md,Laurel
1269,md,Linthicum
1273,md,North Pointe Plaza (MD)
1275,md,Olney
1276,md,Owings Mills Square
1277,md,Pasadena Crossroads
1278,md,Perry Hall Shopping Center
1279,md,Prince Frederick
1280,md,Quarterfield Crossing
1282,md,Reisterstown
1284,md,Rockville Research Row
1291,md,Steeplechase
1299,md,Waugh Chapel
1300,md,West Ocean City
1305,md,Woodyard Landing
1308,ma,Brockton
1310,ma,Cape Cod
1311,ma,Chicopee
1313,ma,Dedham
1315,ma,Framingham
1317,ma,Marlborough (MA)
1318,ma,Methuen
1320,ma,Plymouth
1321,ma,Seekonk
1322,ma,Westborough
1324,ma,Worcester
1325,mi,28th & Beltline
1326,mi,54th and 131
1335,mi,Grand Rapids South
1336,mi,Holland
1338,mi,Lansing
1342,mi,Norton Shores (MI)
1348,mi,Twelve Oaks (MI)
1350,mi,Westnedge
1352,mn,Apple Valley
1355,mn,Brooklyn Park (MN)
1356,mn,Burnsville  (MN)
1357,mn,Chanhassen
1358,mn,Coon Rapids at Riverdale
1359,mn,Crossroads Center
1360,mn,Eagan
1361,mn,Ear of Corn
1363,mn,Knollwood
1365,mn,Maple Grove
1366,mn,Maplewood
1370,mn,Northtown
1372,mn,Roseville (MN)
1376,mn,West St. Paul
1377,mn,Woodbury (MN)
1379,ms,Brandon
1381,ms,Clinton
1382,ms,Columbus
1387,ms,Dogwood Festival
1390,ms,Getwell Road
1391,ms,Greenville [MS]
1397,ms,Laurel (MS)
1398,ms,Madison (MS)
1408,ms,Olive Branch
1413,ms,Southaven
1414,ms,Starkville
1415,ms,Thompson Square
1418,ms,Vicksburg
1419,ms,West Jackson Avenue
1420,mo,21st & Range Line Road
1421,mo,Arnold
1422,mo,Barry Road
1424,mo,Blue Springs
1425,mo,Brentwood (MO)
1426,mo,Bridgeton (MO)
1427,mo,Cape Girardeau
1428,mo,Chesterfield Valley
1429,mo,Des Peres
1431,mo,Ellisville
1432,mo,Florissant (MO)
1433,mo,Glenstone
1434,mo,Hampton & Chippewa
1437,mo,Independence Center
1439,mo,Liberty
1442,mo,Mid Rivers Mall Dr & 94
1448,mo,O'Fallon
1449,mo,South County
1452,mo,St. Joseph
1454,mo,Stadium Boulevard
1455,mo,Summit Fair
1456,mo,Sunset Hills
1457,mo,Sunshine & Campbell
1461,mo,Ward Parkway
1465,mt,Kalispell
1467,ne,123rd & Dodge
1468,ne,48th & O Street
1470,ne,76th & Dodge
1471,ne,Bellevue
1472,ne,Legacy Village
1474,ne,Papillion
1475,ne,SouthPointe Pavilions
1478,nv,Carson Valley
1480,nv,Charleston & Fort Apache In-Line DT
1482,nv,Craig Road & Scott Robinson
1483,nv,Eastern and Ione
1485,nv,Flamingo & Valley View
1487,nv,Hwy 215 & Flamingo
1491,nv,South McCarran and 580
1492,nv,Sparks Blvd & I-80
1493,nv,Stephanie at Warm Springs
1496,nh,Somerset Plaza
1498,nj,Audubon Crossings
1500,nj,Berlin Cross Keys Road
1501,nj,Berlin Township
1502,nj,Brick Township
1503,nj,Burlington Township
1505,nj,Cherry Hill
1507,nj,Cumberland
1509,nj,Delran
1512,nj,East Gate Square
1515,nj,Egg Harbor
1517,nj,Fire Road
1518,nj,Flemington
1524,nj,Hamilton Marketplace
1525,nj,Hazlet
1526,nj,Howell
1531,nj,Mantua Square
1532,nj,Marlkress
1533,nj,Marlton
1537,nj,Morris Plains
1542,nj,Old Bridge
1544,nj,Phillipsburg
1545,nj,Ramsey (NJ)
1548,nj,South Plainfield
1549,nj,St. Georges Ave
1552,nj,Teterboro Landing
1554,nj,Union Township
1555,nj,Voorhees
1556,nj,Washington Township at Greentree Rd
1560,nm,Central & Eubank
1561,nm,Cerrillos Road
1565,nm,Gibson Boulevard
1566,nm,Lohman Avenue
1567,nm,Main Street & English Road
1568,nm,Montgomery and San Mateo
1570,nm,Paseo Del Norte
1573,nm,Unser & Southern
1574,nm,Wyoming Boulevard
1589,ny,Cheektowaga
1590,ny,Cicero
1594,ny,Farmingdale
1598,ny,Greece
1601,ny,Hicksville NY
1612,ny,Plattsburgh
1613,ny,Port Jefferson
1618,ny,Transit & Losson
1620,ny,Westbury
1622,nc,Afton Ridge
1624,nc,Albemarle
1625,nc,Albemarle Road
1635,nc,Blakeney
1646,nc,Carraway Village
1648,nc,Clemmons
1651,nc,Concord Commons
1653,nc,Concord Parkway
1654,nc,Cornelius
1659,nc,Crossroads Plaza Cary
1660,nc,Davis Lake
1661,nc,Denver (NC)
1664,nc,East Woodlawn Road
1665,nc,Eastchester
1666,nc,Elizabeth City
1667,nc,Elkin
1669,nc,Falls Village
1673,nc,Franklin (NC)
1678,nc,Gate City
1683,nc,Guilford College
1685,nc,Hanes Mall Boulevard
1686,nc,Harris Square (NC)
1688,nc,Henderson
1689,nc,Hendersonville
1690,nc,Hendersonville South
1691,nc,Heritage Village
1692,nc,High Point
1695,nc,Holly Springs
1696,nc,Hope Mills
1697,nc,Huffman Mill
1699,nc,Indian Trail
1704,nc,Kinston
1705,nc,Knightdale
1707,nc,Lake Norman
1708,nc,Laurinburg [NC]
1709,nc,Leland Town Center
1712,nc,Lincolnton [NC]
1713,nc,Lumberton
1714,nc,Market Street
1717,nc,Mebane
1718,nc,Merrimon Avenue
1721,nc,Mint Hill
1722,nc,Monkey Junction
1723,nc,Monroe (NC)
1725,nc,Mooresville
1728,nc,Mount Airy
1731,nc,New Bern
1736,nc,Northlake Parkway
1738,nc,Parkside Town Commons
1739,nc,Peace Haven
1740,nc,Peters Creek
1743,nc,Prosperity Church Rd
1744,nc,Raeford Road
1745,nc,Ramsey Street
1747,nc,Renaissance Village
1749,nc,Rivergate Parkway
1750,nc,Roanoke Rapids
1757,nc,Skibo Square
1758,nc,Smith Crossroads
1759,nc,Smithfield
