id,state,location
1314,ma,Fall River (MA)
1316,ma,Hanover (MA)
1323,ma,Woburn
1329,mi,Battle Creek (MI)
1330,mi,Cascade (MI)
1332,mi,Detroit Metropolitan Airport
1333,mi,Detroit Metropolitan Airport-North Terminal
1339,mi,Livonia (MI)
1340,mi,Monroe (MI)
1346,mi,Southfield (MI)
1347,mi,Traverse City (MI)
1349,mi,Walker (MI)
1351,mi,Woodhaven (MI)
1353,mn,Arden Hills (MN)
1354,mn,Bloomington (MN)
1362,mn,Eden Prairie (MN)
1367,mn,Minneapolis - Saint Paul Intl Airport-Concourse C
1368,mn,Minneapolis - Saint Paul Intl Airport-Concourse F
1369,mn,Minnesota State University-Mankato
1371,mn,Plymouth (MN)
1374,mn,Stadium Village
1380,ms,Byram
1383,ms,Corinth [MS]
1384,ms,County Line Road
1385,ms,Delta State University
1388,ms,Edgewater Mall
1389,ms,Forrest General Hospital
1394,ms,HII - Ingalls Shipyard
1395,ms,Hinds Community College - Student Center
1396,ms,Jackson State University
1399,ms,McComb [MS]
1400,ms,Meridian (MS)
1401,ms,Methodist Rehabilitation Center
1402,ms,Mississippi Baptist Medical Center
1403,ms,Mississippi College
1404,ms,Mississippi State University
1409,ms,Petal [MS]
1410,ms,Regions Plaza
1411,ms,Ridgeland (MS)
1417,ms,University of Southern Mississippi
1430,mo,Downtown Branson
1435,mo,Hawks Ridge (MO)
1436,mo,I-44 & Range Line Road
1444,mo,Missouri University of Science & Technology
1445,mo,Missouri Western State University
1451,mo,St. Charles (MO)
1453,mo,St. Louis College of Pharmacy
1462,mo,Wentzville
1464,mt,Billings
1466,mt,Missoula
1476,ne,University of Nebraska - Lincoln
1479,nv,Centennial Hills at 95 Plaza
1484,nv,Flamingo & Paradise
1486,nv,Golden Nugget Las Vegas Hotel
1488,nv,Las Vegas Blvd & I-215
1490,nv,Sahara at I-15
1497,nh,Tuscan Village (NH)
1499,nj,Barrington
1504,nj,Centerton Square
1513,nj,Eatontown (NJ)
1514,nj,Edison Towne Square
1516,nj,Englewood (NJ) In-Line
1519,nj,Freehold
1521,nj,Garden State Park In-Line
1523,nj,Hackensack (NJ)
1527,nj,Landis Avenue
1528,nj,Lawrenceville (NJ)
1529,nj,Linden
1530,nj,Manahawkin
1535,nj,Molly Pitcher Travel Plaza
1538,nj,Newport Centre
1539,nj,North Bergen
1540,nj,North Brunswick (NJ)
1564,nm,E. University Ave
1571,nm,Rio Bravo & Coors
1575,ny,1536 3rd Avenue In-Line
1576,ny,216 West 125th Street In-Line
1577,ny,219 West 34th Street In-Line
1578,ny,22nd & 6th In-Line
1579,ny,31st & Park (NY) In-Line
1580,ny,37th & 6th In-Line
1581,ny,42nd & Madison In-Line
1582,ny,43rd & 8th In-Line
1583,ny,46th & 6th In-Line
1584,ny,601 West 181st Street In-Line
1585,ny,711 Lexington Avenue In-Line
1587,ny,918 8th Avenue In-Line
1588,ny,Albany International Airport
