id,state,location,Mobile Orders,Catering,Pickup,Delivery,WiFi,Playground,Breakfast Served,Drive-thru,cost of chicken sandwich
134,az,Superstition Springs Center,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,5.69
135,az,Surprise Marketplace,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,5.39
136,az,Tanque Verde,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.25
137,az,Thunderbird,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.29
138,az,University at Mill,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5.39
139,az,University of Arizona-SUMC,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
140,az,Yuma,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.25
141,ar,7th & Broadway,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.99
142,ar,Arkansas State University,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,
143,ar,Cantrell Road,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.99
144,ar,Chenal & Markham,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,4.99
145,ar,Clinton National Airport,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,
146,ar,Conway Commons,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.95
147,ar,Downtown Bentonville,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.09
148,ar,Harding University,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
149,ar,Henderson State University,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,
150,ar,Hot Springs,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,4.95
151,ar,Markham & University,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.99
152,ar,Maumelle,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.95
153,ar,McCain Boulevard,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.99
154,ar,North College Avenue,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.09
155,ar,Otter Creek,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.99
156,ar,Ouachita Baptist University,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
157,ar,Park Plaza,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5.09
158,ar,Pleasant Grove Road,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.09
159,ar,Razorback Road,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5.09
160,ar,Reynolds Road,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.99
161,ar,Rogers Avenue,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.09
162,ar,Russellville,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,4.85
163,ar,Searcy In-Line DT,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
164,ar,Southern Arkansas University,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,
